cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.17715572715572714,0.03946481017509051,37
10-month-olds,Agent-Object Binding,0.34056199056199055,0.045978725147253895,37
10-month-olds,Motion Tracking,0.2781424281424281,0.054915488763201376,37
11-month-olds,Agent-Agent Attention,0.1725925925925926,0.0534920111576631,15
11-month-olds,Agent-Object Binding,0.4168518518518518,0.07217665772017366,15
11-month-olds,Motion Tracking,0.1148148148148148,0.041721011003585204,15
7-month-olds,Agent-Agent Attention,0.058333333333333334,0.033367656321661075,14
7-month-olds,Agent-Object Binding,0.2,0.06849596478404545,14
7-month-olds,Motion Tracking,0.5083333333333334,0.10695802127478946,14
8-month-olds,Agent-Agent Attention,0.060000000000000005,0.03625307868699862,15
8-month-olds,Agent-Object Binding,0.1688888888888889,0.07632197646622339,15
8-month-olds,Motion Tracking,0.5333333333333333,0.10115732416787344,15
9-month-olds,Agent-Agent Attention,0.12692307692307692,0.03843161228913859,26
9-month-olds,Agent-Object Binding,0.4653846153846154,0.06862460173423315,26
9-month-olds,Motion Tracking,0.19999999999999998,0.06602252917735249,26
Adults,Agent-Agent Attention,0.2600595238095238,0.046430174943349854,40
Adults,Agent-Object Binding,0.3696230158730159,0.04646919271424723,40
Adults,Motion Tracking,0.2932440476190476,0.05912940744976635,40
