cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.17895752895752895,0.03964020838612823,37
10-month-olds,Agent-Object Binding,0.34371514371514367,0.04590974019380453,37
10-month-olds,Motion Tracking,0.26237666237666235,0.05335160439001143,37
11-month-olds,Agent-Agent Attention,0.2023809523809524,0.05754159821660534,15
11-month-olds,Agent-Object Binding,0.4034126984126984,0.07438159427671187,15
11-month-olds,Motion Tracking,0.15063492063492062,0.049027067148434675,15
7-month-olds,Agent-Agent Attention,0.058333333333333334,0.033367656321661075,14
7-month-olds,Agent-Object Binding,0.20357142857142857,0.06574868372960121,14
7-month-olds,Motion Tracking,0.5238095238095238,0.1042549338220215,14
8-month-olds,Agent-Agent Attention,0.060000000000000005,0.03625307868699862,15
8-month-olds,Agent-Object Binding,0.24666666666666665,0.0959386929462394,15
8-month-olds,Motion Tracking,0.5511111111111112,0.11221043471018335,15
9-month-olds,Agent-Agent Attention,0.14615384615384613,0.0483250009821118,26
9-month-olds,Agent-Object Binding,0.491025641025641,0.07138573901267166,26
9-month-olds,Motion Tracking,0.1871794871794872,0.06623132016805308,26
Adults,Agent-Agent Attention,0.2650297619047619,0.04657382118818983,40
Adults,Agent-Object Binding,0.3783333333333333,0.047999987281235605,40
Adults,Motion Tracking,0.28550595238095233,0.05982618387085633,40
