cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.21015873015873013,0.0460916696573072,30
10-month-olds,Agent-Object Binding,0.34224867724867725,0.05474203917606733,30
10-month-olds,Motion Tracking,0.2374867724867725,0.05865271109760955,30
11-month-olds,Agent-Agent Attention,0.14786324786324787,0.04522348947496428,13
11-month-olds,Agent-Object Binding,0.4297008547008546,0.07406119765357236,13
11-month-olds,Motion Tracking,0.13247863247863248,0.04634831616129031,13
7-month-olds,Agent-Agent Attention,0.08166666666666667,0.045164309081561466,10
7-month-olds,Agent-Object Binding,0.28,0.08365862437369362,10
7-month-olds,Motion Tracking,0.4616666666666667,0.12103080925997091,10
8-month-olds,Agent-Agent Attention,0.03076923076923077,0.02083086770419477,13
8-month-olds,Agent-Object Binding,0.1564102564102564,0.08332347081677909,13
8-month-olds,Motion Tracking,0.5769230769230769,0.1085638320632589,13
9-month-olds,Agent-Agent Attention,0.10925925925925926,0.04031516682975446,18
9-month-olds,Agent-Object Binding,0.5425925925925926,0.07510851774323425,18
9-month-olds,Motion Tracking,0.15925925925925927,0.06532170295504139,18
Adults,Agent-Agent Attention,0.2667277167277168,0.047142520180002395,39
Adults,Agent-Object Binding,0.3791005291005291,0.04667426445772489,39
Adults,Motion Tracking,0.27512210012210014,0.05774610348466324,39
