cohort,event_category,count,percentage
7-month-olds,Toy_Only,3,13.043478260869565
7-month-olds,Man_Only,1,4.3478260869565215
7-month-olds,Woman_Only,1,4.3478260869565215
7-month-olds,Other,0,0.0
7-month-olds,Man_Toy,6,26.08695652173913
7-month-olds,Woman_Toy,4,17.391304347826086
7-month-olds,Woman_Man,0,0.0
7-month-olds,Full_Trifecta,8,34.78260869565217
8-month-olds,Toy_Only,2,8.0
8-month-olds,Man_Only,2,8.0
8-month-olds,Woman_Only,0,0.0
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,9,36.0
8-month-olds,Woman_Toy,2,8.0
8-month-olds,Woman_Man,2,8.0
8-month-olds,Full_Trifecta,8,32.0
9-month-olds,Toy_Only,1,3.125
9-month-olds,Man_Only,3,9.375
9-month-olds,Woman_Only,0,0.0
9-month-olds,Other,1,3.125
9-month-olds,Man_Toy,13,40.625
9-month-olds,Woman_Toy,1,3.125
9-month-olds,Woman_Man,2,6.25
9-month-olds,Full_Trifecta,11,34.375
10-month-olds,Toy_Only,1,2.564102564102564
10-month-olds,Man_Only,1,2.564102564102564
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,10,25.64102564102564
10-month-olds,Woman_Toy,1,2.564102564102564
10-month-olds,Woman_Man,5,12.82051282051282
10-month-olds,Full_Trifecta,21,53.84615384615385
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,1,4.761904761904762
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,2,9.523809523809524
11-month-olds,Woman_Toy,2,9.523809523809524
11-month-olds,Woman_Man,2,9.523809523809524
11-month-olds,Full_Trifecta,14,66.66666666666666
Adults,Toy_Only,1,2.5
Adults,Man_Only,0,0.0
Adults,Woman_Only,0,0.0
Adults,Other,0,0.0
Adults,Man_Toy,6,15.0
Adults,Woman_Toy,3,7.5
Adults,Woman_Man,2,5.0
Adults,Full_Trifecta,28,70.0
